id,주소,전용면적,계약년월,거래금액,층,건축년도,주택유형,거래유형
1,서울특별시 강남구 개포동,60.76,202505,37800,4,1983,아파트,전세
2,서울특별시 강남구 개포동,60.76,202504,45000,9,1983,아파트,전세
3,서울특별시 강남구 개포동,83.21,202504,52500,9,1983,아파트,전세
4,서울특별시 강남구 개포동,73.02,202504,45000,10,1983,아파트,전세
5,서울특별시 강남구 개포동,53.06,202504,29400,10,1983,아파트,전세
6,서울특별시 강남구 개포동,53.06,202504,29400,10,1983,아파트,전세
7,서울특별시 강남구 개포동,83.7,202504,70000,3,1983,아파트,전세
8,서울특별시 강남구 개포동,73.02,202504,45000,7,1983,아파트,전세
9,서울특별시 강남구 개포동,83.21,202504,40950,1,1983,아파트,전세
10,서울특별시 강남구 개포동,53.46,202504,40000,3,1983,아파트,전세
11,서울특별시 강남구 개포동,60.13,202504,36700,6,1983,아파트,전세
12,서울특별시 강남구 개포동,61.19,202504,29000,9,1983,아파트,전세
13,서울특별시 강남구 개포동,53.46,202504,38000,8,1983,아파트,전세
14,서울특별시 강남구 개포동,83.21,202504,45000,1,1983,아파트,전세
15,서울특별시 강남구 개포동,53.46,202504,40000,8,1983,아파트,전세
16,서울특별시 강남구 개포동,73.26,202504,47300,4,1983,아파트,전세
17,서울특별시 강남구 개포동,73.02,202504,40000,13,1983,아파트,전세
18,서울특별시 강남구 개포동,73.26,202504,42000,2,1983,아파트,전세
19,서울특별시 강남구 개포동,83.21,202504,42000,1,1983,아파트,전세
20,서울특별시 강남구 개포동,74.25,202504,40000,14,1983,아파트,전세
21,서울특별시 강남구 개포동,73.26,202504,50000,6,1983,아파트,전세
22,서울특별시 강남구 개포동,73.26,202504,16500,2,1983,아파트,전세
23,서울특별시 강남구 개포동,53.46,202504,40000,7,1983,아파트,전세
24,서울특별시 강남구 개포동,73.26,202504,50000,13,1983,아파트,전세
25,서울특별시 강남구 개포동,83.21,202504,47250,13,1983,아파트,전세
26,서울특별시 강남구 개포동,83.17,202503,331000,2,1983,아파트,매매
27,서울특별시 강남구 개포동,83.21,202503,316000,1,1983,아파트,매매
28,서울특별시 강남구 개포동,61.19,202503,285000,6,1983,아파트,매매
29,서울특별시 강남구 개포동,61.19,202503,282000,4,1983,아파트,매매
30,서울특별시 강남구 개포동,53.06,202502,253000,6,1983,아파트,매매
31,서울특별시 강남구 개포동,61.19,202502,275000,5,1983,아파트,매매
32,서울특별시 강남구 개포동,53.46,202502,250000,3,1983,아파트,매매
33,서울특별시 강남구 개포동,60.76,202502,265000,10,1983,아파트,매매
34,서울특별시 강남구 개포동,73.26,202502,299000,7,1983,아파트,매매
35,서울특별시 강남구 개포동,53.46,202502,245000,15,1983,아파트,매매
36,서울특별시 강남구 개포동,83.21,202502,310000,1,1983,아파트,매매
37,서울특별시 강남구 개포동,74.25,202502,295000,3,1983,아파트,매매
38,서울특별시 강남구 개포동,83.17,202502,330000,10,1983,아파트,매매
39,서울특별시 강남구 개포동,74.25,202502,297000,9,1983,아파트,매매
40,서울특별시 강남구 개포동,73.02,202502,290000,7,1983,아파트,매매
41,서울특별시 강남구 개포동,73.26,202502,290000,7,1983,아파트,매매
42,서울특별시 강남구 개포동,60.76,202502,263000,9,1983,아파트,매매
43,서울특별시 강남구 개포동,60.76,202502,263000,9,1983,아파트,매매
44,서울특별시 강남구 개포동,83.7,202502,318000,3,1983,아파트,매매
45,서울특별시 강남구 개포동,53.46,202502,240000,7,1983,아파트,매매
46,서울특별시 강남구 개포동,53.98,202501,247000,13,1983,아파트,매매
47,서울특별시 강남구 개포동,74.25,202501,290000,6,1983,아파트,매매
48,서울특별시 강남구 개포동,73.26,202501,283000,6,1983,아파트,매매
49,서울특별시 강남구 개포동,53.46,202501,240000,8,1983,아파트,매매
50,서울특별시 강남구 개포동,60.13,202501,255000,5,1983,아파트,매매
51,서울특별시 강서구 화곡동,68.07,202503,20000,1,2002,다세대,전세
52,서울특별시 강서구 화곡동,46.09,202503,13200,4,2002,다세대,전세
53,서울특별시 강서구 화곡동,39.26,202503,11500,5,2002,다세대,전세
54,서울특별시 강서구 화곡동,64.16,202503,21000,3,2002,다세대,전세
55,서울특별시 강서구 화곡동,50.16,202503,13000,1,2002,다세대,전세
56,서울특별시 강서구 화곡동,41.96,202503,15000,3,2002,다세대,전세
57,서울특별시 강서구 화곡동,57.03,202503,18270,3,2002,다세대,전세
58,서울특별시 강서구 화곡동,60.54,202503,21000,3,2002,다세대,전세
59,서울특별시 강서구 화곡동,36.52,202503,10500,4,2002,다세대,전세
60,서울특별시 강서구 화곡동,36.52,202503,10500,4,2002,다세대,전세
